,0
556,2.6984320825919007e-14
557,2.6944627902192153e-14
558,2.6904879530753082e-14
559,2.6865075793397572e-14
560,2.6825216772035295e-14
561,2.6785302548689718e-14
562,2.674533320549789e-14
563,2.6705308824710304e-14
564,2.6665229488690687e-14
565,2.6625095279915884e-14
566,2.6584906280975634e-14
567,2.6544662574572435e-14
568,2.650436424352137e-14
569,2.6464011370749914e-14
570,2.642360403929781e-14
571,2.6383142332316832e-14
572,2.6342626333070676e-14
573,2.6302056124934758e-14
574,2.6261431791396037e-14
575,2.6220753416052863e-14
576,2.6180021082614794e-14
577,2.613923487490242e-14
578,2.60983948768472e-14
579,2.6057501172491284e-14
580,2.601655384598734e-14
581,2.5975552981598383e-14
582,2.5934498663697606e-14
583,2.5893390976768187e-14
584,2.585223000540314e-14
585,2.5811015834305124e-14
586,2.576974854828628e-14
587,2.5728428232268046e-14
588,2.5687054971280988e-14
589,2.5645628850464632e-14
590,2.5604149955067262e-14
591,2.556261837044579e-14
592,2.5521034182065533e-14
593,2.5479397475500057e-14
594,2.5437708336431032e-14
595,2.539596685064798e-14
596,2.5354173104048176e-14
597,2.5312327182636438e-14
598,2.527042917252494e-14
599,2.5228479159933047e-14
600,2.5186477231187144e-14
601,2.5144423472720445e-14
602,2.5102317971072828e-14
603,2.5060160812890645e-14
604,2.5017952084926547e-14
605,2.497569187403931e-14
606,2.4933380267193655e-14
607,2.489101735146007e-14
608,2.4848603214014617e-14
609,2.480613794213878e-14
610,2.4763621623219245e-14
611,2.4721054344747782e-14
612,2.4678436194321002e-14
613,2.4635767259640192e-14
614,2.4593047628511174e-14
615,2.4550277388844075e-14
616,2.450745662865317e-14
617,2.4464585436056707e-14
618,2.44216638992767e-14
619,2.4378692106638768e-14
620,2.4335670146571963e-14
621,2.4292598107608553e-14
622,2.4249476078383874e-14
623,2.4206304147636128e-14
624,2.4163082404206205e-14
625,2.4119810937037507e-14
626,2.4076489835175754e-14
627,2.4033119187768812e-14
628,2.3989699084066497e-14
629,2.39462296134204e-14
