,0
388,3.648804569512509e-15
389,3.648055887132836e-15
390,3.647305327974797e-15
391,3.646552892424525e-15
392,3.645798580869116e-15
393,3.645042393696635e-15
394,3.644284331296108e-15
395,3.643524394057529e-15
396,3.6427625823718535e-15
397,3.641998896631005e-15
398,3.64123333722787e-15
399,3.6404659045562954e-15
400,3.639696599011095e-15
401,3.638925420988047e-15
402,3.638152370883891e-15
403,3.63737744909633e-15
404,3.6366006560240304e-15
405,3.635821992066622e-15
406,3.635041457624694e-15
407,3.634259053099801e-15
408,3.63347477889446e-15
409,3.632688635412146e-15
410,3.6319006230573e-15
411,3.631110742235323e-15
412,3.630318993352577e-15
413,3.629525376816384e-15
414,3.628729893035029e-15
415,3.627932542417755e-15
416,3.6271333253747685e-15
417,3.6263322423172334e-15
418,3.625529293657276e-15
419,3.62472447980798e-15
420,3.6239178011833895e-15
421,3.62310925819851e-15
422,3.622298851269303e-15
423,3.621486580812691e-15
424,3.6206724472465544e-15
425,3.619856450989733e-15
426,3.619038592462022e-15
427,3.618218872084179e-15
428,3.617397290277916e-15
429,3.6165738474659054e-15
430,3.6157485440717725e-15
431,3.614921380520107e-15
432,3.6140923572364466e-15
433,3.6132614746472936e-15
434,3.612428733180104e-15
435,3.611594133263288e-15
436,3.6107576753262144e-15
437,3.609919359799209e-15
438,3.6090791871135485e-15
439,3.60823715770147e-15
440,3.6073932719961634e-15
441,3.6065475304317734e-15
442,3.605699933443402e-15
443,3.604850481467102e-15
444,3.603999174939883e-15
445,3.6031460142997086e-15
446,3.602290999985494e-15
447,3.601434132437111e-15
448,3.600575412095384e-15
449,3.599714839402089e-15
450,3.5988524147999575e-15
451,3.597988138732671e-15
452,3.597122011644865e-15
453,3.596254033982128e-15
454,3.595384206190999e-15
455,3.59451252871897e-15
456,3.593639002014484e-15
457,3.592763626526934e-15
458,3.591886402706668e-15
459,3.591007331004981e-15
460,3.59012641187412e-15
461,3.589243645767283e-15
462,3.588359033138618e-15
463,3.587472574443222e-15
464,3.586584270137143e-15
465,3.585694120677377e-15
466,3.584802126521872e-15
467,3.583908288129521e-15
468,3.583012605960169e-15
469,3.58211508047461e-15
470,3.581215712134582e-15
471,3.580314501402775e-15
472,3.579411448742828e-15
473,3.578506554619322e-15
474,3.577599819497791e-15
475,3.5766912438447115e-15
476,3.575780828127512e-15
477,3.574868572814563e-15
478,3.573954478375185e-15
479,3.5730385452796406e-15
480,3.572120773999142e-15
481,3.571201165005845e-15
482,3.570279718772854e-15
483,3.569356435774212e-15
484,3.568431316484914e-15
485,3.567504361380895e-15
486,3.5665755709390384e-15
487,3.565644945637168e-15
488,3.564712485954053e-15
489,3.563778192369407e-15
490,3.562842065363886e-15
491,3.561904105419092e-15
492,3.560964313017564e-15
493,3.560022688642791e-15
494,3.559079232779199e-15
495,3.558133945912159e-15
496,3.5571868285279835e-15
497,3.5562378811139244e-15
498,3.55528710415818e-15
499,3.5543344981498824e-15
500,3.553380063579115e-15
501,3.5524238009368918e-15
502,3.5514657107151735e-15
503,3.5505057934068577e-15
504,3.5495440495057855e-15
505,3.548580479506732e-15
506,3.547615083905419e-15
507,3.5466478631985026e-15
508,3.5456788178835768e-15
509,3.5447079484591806e-15
510,3.5437352554247838e-15
511,3.5427607392807997e-15
512,3.541784400528578e-15
513,3.5408062396704048e-15
514,3.5398262572095048e-15
515,3.5388444536500402e-15
516,3.5378608294971084e-15
517,3.5368753852567463e-15
518,3.5358881214359236e-15
519,3.534899038542549e-15
520,3.533908137085467e-15
521,3.5329154175744533e-15
522,3.5319208805202256e-15
523,3.5309245264344317e-15
524,3.5299263558296553e-15
525,3.5289263692194176e-15
526,3.5279245671181695e-15
527,3.5269209500412972e-15
528,3.525915518505124e-15
529,3.5249082730269017e-15
530,3.5238992141248196e-15
531,3.5228883423179966e-15
532,3.521875658126486e-15
533,3.520861162071274e-15
534,3.5198448546742773e-15
535,3.5188267364583453e-15
536,3.517806807947259e-15
537,3.516785069665731e-15
538,3.515761522139405e-15
539,3.514736165894853e-15
540,3.513709001459582e-15
541,3.5126800293620266e-15
542,3.511649250131551e-15
543,3.5106166642984495e-15
544,3.5095822723939464e-15
545,3.5085460749501954e-15
546,3.507508072500278e-15
547,3.5064682655782053e-15
548,3.5054266547189147e-15
549,3.5043832404582747e-15
550,3.50333802333308e-15
551,3.5022910038810526e-15
552,3.5012421826408405e-15
553,3.500191560152023e-15
554,3.4991391369551007e-15
555,3.498084913591505e-15
556,3.4970288906035904e-15
557,3.4959710685346393e-15
558,3.4949114479288567e-15
559,3.4938500293313774e-15
560,3.4927868132882565e-15
561,3.4917218003464767e-15
562,3.4906549910539453e-15
563,3.489586385959492e-15
564,3.4885159856128724e-15
565,3.487443790564763e-15
